student_id,gpa,attendance,library_usage,online_activity,stress_level,sleep_hours,needs_support
1,3.8,92,10,7,2,7,0
2,2.1,60,2,3,8,4,1
3,3.5,85,8,6,3,7,0
4,2.4,70,3,4,7,5,1
5,3.7,95,11,8,2,8,0
6,2.0,55,1,2,9,4,1
7,3.1,82,6,5,4,6,0
8,2.3,65,3,4,8,5,1
9,3.6,90,9,7,3,7,0
10,2.2,68,2,3,7,5,1
11,3.4,88,7,6,3,7,0
12,2.5,72,4,5,6,6,1
13,3.9,96,12,9,1,8,0
14,2.0,58,1,2,9,4,1
15,3.3,86,6,6,3,7,0
16,2.6,74,4,5,6,6,1
17,3.7,93,10,8,2,8,0
18,2.1,62,2,3,8,4,1
19,3.2,84,7,6,4,7,0
20,2.4,69,3,4,7,5,1
21,3.8,94,11,8,2,8,0
22,2.0,56,1,2,9,3,1
23,3.5,87,8,7,3,7,0
24,2.7,73,4,5,5,6,0
25,3.0,80,5,5,4,6,0
26,2.2,63,2,3,8,4,1
27,3.6,91,9,7,2,7,0
28,2.3,67,3,4,7,5,1
29,3.4,89,8,7,3,7,0
30,2.1,59,1,2,9,4,1
31,3.9,97,12,9,1,9,0
32,2.5,71,3,4,6,5,1
33,3.2,83,6,6,4,7,0
34,2.0,57,1,2,9,3,1
35,3.7,92,10,8,2,8,0
36,2.4,66,3,4,7,5,1
37,3.1,81,6,5,4,6,0
38,2.6,75,4,5,6,6,1
39,3.5,88,8,7,3,7,0
40,2.2,64,2,3,8,5,1
41,3.8,95,11,8,2,8,0
42,2.1,61,2,3,8,4,1
43,3.3,85,7,6,3,7,0
44,2.5,70,3,4,6,5,1
45,3.6,90,9,7,2,7,0
46,2.0,55,1,2,9,4,1
47,3.0,79,5,5,5,6,0
48,2.3,68,3,4,7,5,1
49,3.7,94,10,8,2,8,0
50,2.4,72,3,4,7,5,1
